t,B_Gx,B_Gy,B_Gz,B_Ax,B_Ay,B_Az
0.0,-0.0070043741217705,-0.0012628774917026796,-0.0012676833554454725,0.21677432067238253,0.23504903495082274,9.776483864294631
0.0006024407676178048,0.0015172093682113007,-0.0017872574616760056,-0.0013668393535044032,0.2739386222084379,0.27316930764844644,9.795738467974484
0.0012048815352356096,-0.0021348978417808995,-0.0015625231888302946,-0.0013243439257648614,0.24534262182916156,0.23997057712921677,9.809991198612567
0.0018073223028534143,-0.0058325218100385105,0.0023135703333846363,0.0011444026458848385,0.2452095630977039,0.2691072616671898,9.8622852094068
0.0024097630704712192,0.0027028808054325158,0.00057064560515191,0.0010494842052913883,0.24527469934323445,0.2308586320082106,9.86243889871308
0.003012203838089024,-0.0033977836700437108,0.0021637474848208286,0.001116072360725144,0.25481706862055487,0.24029025422182315,9.852929912423848
0.0036146446057068286,-0.0021881446528389374,0.0033137933569117955,-0.002560776063780084,0.3025748458511441,0.28720279494784656,9.776798102191908
0.004217085373324634,0.002695150752639889,0.0017956029015247811,-0.0026131990766339926,0.21197300236109104,0.22575678708834349,9.805079967590686
0.0048195261409424385,-0.002164565783658218,0.0008724288149840152,-0.00011333713254252261,0.27890326802358256,0.18209983104644517,9.772310278905042
0.005421966908560243,0.0014639625571532628,0.0030890590840660843,-0.002603271491519626,0.24056280826978327,0.2447759950468154,9.80994278963298
0.006024407676178048,-0.004571665672674566,-0.0014148378529709774,-7.653173245186681e-05,0.20236076303773634,0.2261738210218549,9.847901890136765
0.006626848443795853,-0.005789034742671966,-0.0013399264286890738,-6.236658987201953e-05,0.2596332103231486,0.2542407956206552,9.810021158571613
0.007229289211413657,-0.00455784654718534,-0.0026333826112303776,-7.229417498638616e-05,0.28349108107655685,0.25885924988655645,9.805383456692201
0.007831729979031463,-0.0022060231601258966,0.004528063089762215,-0.0001260498049389645,0.29292579149454706,0.2736040198819598,9.85779349660889
0.008434170746649268,-0.002182444290945177,0.0020866985478344346,0.0023213891262985967,0.2548366258123609,0.2733485212700312,9.805150636304543
0.009036611514267072,-0.000923617844480099,-0.0016438471512256693,0.0023199366561151916,0.269178014050603,0.2399716662491051,9.824430627086963
0.009639052281884877,-0.0033957539791448442,0.0021658849975253187,-0.00010340954742815597,0.2501846502939096,0.22535743145483406,9.781491151132936
0.010241493049502682,0.0014363243061748107,0.005526148600584884,-0.002611746606450587,0.2216072333263857,0.23469726861787746,9.738397223729882
0.010843933817120486,-0.0009610158391500441,0.0020160621489615114,-0.00013173983258785052,0.22615154998550685,0.2880015062148654,9.823975735107409
0.011446374584738291,-0.0021665954745570845,0.0008702913022795248,0.0011061447756107775,0.25016168487191603,0.2254802166258537,9.79578459052583
0.012048815352356097,0.0014440543589674373,0.004301191304212013,0.0010509366754747936,0.29296163274773573,0.29710012951542303,9.810052642816153
0.0126512561199739,-0.0021962634164344034,0.003305243306093834,0.0023171515688331164,0.2548625125745152,0.2447848341968164,9.819559342677147
0.013253696887591706,0.0026890616799432896,0.00178919036341131,0.0010452466478259078,0.26448532837869515,0.21588596997076998,9.800675086098932
0.013856137655209511,-0.003385994235453351,0.0009430652138569382,0.0023397918263439246,0.20237266508887783,0.2592730164604028,9.80488709381509
